Price,Close,High,Low,Open,Volume
Ticker,BNP.PA,BNP.PA,BNP.PA,BNP.PA,BNP.PA
Date,,,,,
2020-01-02,37.87434005737305,38.17122607697914,37.59158915597563,37.60572697069675,2783637
2020-01-03,37.42193603515625,37.584516850814616,37.17453103230924,37.51383047757613,2535225
2020-01-06,37.23815155029297,37.25228936488986,36.503001370329024,36.78575226924205,2494787
2020-01-07,37.2240104675293,37.56330989852792,37.082635030485164,37.414866903062055,2022813
2020-01-08,37.308837890625,37.47848896911096,36.76454416347773,36.94833305654689,2893097
2020-01-09,37.040225982666016,37.7400302484783,36.91298835315246,37.669343874976235,3207565
2020-01-10,36.870574951171875,37.18866902530111,36.76454269429136,37.08970702368586,2495036
2020-01-13,36.70799255371094,36.976605615463335,36.47472267722571,36.84229773633104,2858479
2020-01-14,36.87763977050781,36.96953420654382,36.23438411127996,36.82109121514788,3294787
2020-01-15,36.02231979370117,36.95539381231971,35.9162902486152,36.83522645525323,3230881
2020-01-16,35.760780334472656,36.29093619867426,35.499237529823276,36.05059876570905,3309337
2020-01-17,35.87388610839844,36.093018206110536,35.64768645112068,35.99405349660298,2954093
2020-01-20,35.69009780883789,35.895089382393714,35.612341175604236,35.8314705639764,1776051
2020-01-21,35.49216842651367,35.78905712228587,35.251830985750374,35.47803061276145,2847578
2020-01-22,35.4002799987793,35.75371728616401,35.27304235959979,35.52044738216409,2939696
2020-01-23,35.311920166015625,35.68302769449263,35.036236820773816,35.50630905335716,4186551
2020-01-24,35.28010940551758,35.873884147544324,35.23769596090407,35.81733288805965,3186013
2020-01-27,34.54495620727539,35.18821189715773,34.42125370855037,34.99735545776245,4716090
2020-01-28,34.93373489379883,35.135196705712595,34.315219734660644,34.714605534614755,3074687
2020-01-29,34.99382781982422,35.27304361034031,34.83831454497662,35.121065463515414,2413393
2020-01-30,34.55909729003906,34.77469424957376,34.25160857790883,34.495478470889275,3404856
2020-01-31,33.9617805480957,34.84890870893108,33.90876712328462,34.84890870893108,4461448
2020-02-03,34.17031478881836,34.4495305509389,33.86635852608016,34.00773397097203,3293745
2020-02-04,34.84185028076172,34.84185028076172,34.33996995328781,34.43539683946448,3725725
2020-02-05,35.06804656982422,35.485102658770096,34.50607990498884,34.88425767828203,3809870
2020-02-06,35.633544921875,35.83146892723795,35.400277729341866,35.4568262895117,3883717
2020-02-07,36.637306213378906,36.637306213378906,35.52751078018728,35.661818659430295,4629252
2020-02-10,36.50299835205078,36.63023597638966,36.34041754239825,36.46765516673713,3595939
2020-02-11,37.273494720458984,37.30883790867787,36.68679024579064,36.88471425702636,3683036
2020-02-12,37.87434005737305,37.95209399357052,37.28056532164843,37.30883825457822,4311939
2020-02-13,37.86726379394531,37.87433404844036,37.31590258985997,37.69054518273724,3528208
2020-02-14,37.94502639770508,38.1641584809014,37.775375317728496,37.867269765070496,2896124
2020-02-17,38.2984619140625,38.32673754217661,37.952092210945416,38.02278128123069,2154079
2020-02-18,37.93795394897461,38.19242920597253,37.902610762505404,38.04398620489451,3238319
2020-02-19,37.994503021240234,38.2277728922546,37.86019784176998,38.12174064242768,2736048
2020-02-20,37.648136138916016,38.086400287347,37.52796876359652,37.89554384138751,3453029
2020-02-21,37.61986541748047,37.77537598900063,37.26642813305172,37.464352149447826,4704745
2020-02-24,36.19197463989258,36.77161150937636,36.02232357483069,36.51006870156348,8375558
2020-02-25,34.42478942871094,36.40403753192067,34.42478942871094,36.39696997323424,9064145
2020-02-26,34.08195495605469,34.27634652689756,33.29732381048858,34.07135226973822,9987467
2020-02-27,32.08149719238281,33.40335441575866,31.756335577691146,33.40335441575866,12715472
2020-02-28,30.95050621032715,31.272135467991763,30.07751559268066,30.855079319758275,11414189
2020-03-02,30.717235565185547,31.56548288732274,29.589769769335934,31.56195045598111,9760643
2020-03-03,30.261301040649414,31.735133858699033,29.953809634716684,31.735133858699033,10183476
2020-03-04,29.865447998046875,30.445084879566096,29.688729370839496,30.32491750739096,8378905
2020-03-05,28.639020919799805,30.22595347178704,28.317394413438386,30.0987185382078,9912621
2020-03-06,27.225269317626953,28.221962195517143,26.77993765407668,27.925076217491668,10830096
2020-03-09,23.88175392150879,25.256624553416156,23.88175392150879,24.210450658750858,15285280
2020-03-10,24.47906494140625,26.355815895295255,23.84641193382788,24.404843441725514,15219866
2020-03-11,25.20714569091797,26.097806414336464,24.645181732579033,24.952670428080587,9873471
2020-03-12,21.91311264038086,24.17864703188177,21.54200374434825,23.408153608601424,19034340
2020-03-13,22.429128646850586,24.73000601072234,21.966126689828048,22.874460358425328,11707060
2020-03-16,19.396636962890625,21.520794275600476,18.714502951790678,20.895210171460604,12726489
2020-03-17,20.640735626220703,20.796247528489676,18.428217719757082,20.347382066007402,9688197
2020-03-18,18.661487579345703,20.31910923790761,18.59786876290908,19.983343561882375,9362461
2020-03-19,19.216381072998047,19.803086798134316,17.74254852816854,19.48145898522689,8956394
2020-03-20,19.396636962890625,20.425139322653028,19.216383207529304,19.79248631161113,12822483
2020-03-23,17.9722843170166,19.01492451441889,17.7778940916634,18.308049987130037,10576950
2020-03-24,19.636974334716797,19.636974334716797,18.47416544446247,19.43904898693219,10496527
2020-03-25,21.206235885620117,21.31580192306804,19.792486826578774,20.428673633496146,10369508
2020-03-26,21.898971557617188,21.962590370103495,20.361520068462333,20.644269597148085,7408851
2020-03-27,21.117876052856445,21.729322344144233,20.449879854520546,21.333472994807426,6383577
2020-03-30,19.96920394897461,20.849263264914303,19.10681757354152,20.775040420252353,6719180
2020-03-31,19.44611930847168,20.38626241939369,19.05380371192888,20.14592496111983,8373353
2020-04-01,18.28684425354004,19.014924139404336,18.251499718918968,18.87355004568846,8110217
2020-04-02,18.41054916381836,18.85587957228378,17.813240607230355,18.414082943614932,5921150
2020-04-03,17.484540939331055,18.166674929953338,17.32195878197745,18.092452083838307,6957628
2020-04-06,18.127798080444336,18.255035714618643,17.682466360834255,18.237362772339612,8638999
2020-04-07,18.908891677856445,19.576887822343867,18.336323746618085,18.668554255211994,12757415
